"OBJECTID","CONFIRMED","ACTIVE","RECOVERED","DEATHS","DATE","Shape__Area","Shape__Length","new_cases","new_deaths"
100,2576,504,1897,180,NA,22448726051.2511,785106.996974002,19,0
101,2582,433,1972,182,NA,22448726051.2511,785106.996974002,6,2
102,2598,439,1982,182,NA,22448726051.2511,785106.996974002,16,0
103,2631,470,1982,184,NA,22448726051.2511,785106.996974002,33,2
104,2647,475,1993,184,NA,22448726051.2511,785106.996974002,16,0
105,2671,479,2013,184,NA,22448726051.2511,785106.996974002,24,0
106,2696,496,2020,185,NA,22448726051.2511,785106.996974002,25,1
107,2708,443,2083,187,NA,22448726051.2511,785106.996974002,12,2
108,2726,460,2084,187,NA,22448726051.2511,785106.996974002,18,0
109,2739,445,2111,188,NA,22448726051.2511,785106.996974002,13,1
110,2765,403,2179,188,NA,22448726051.2511,785106.996974002,26,0
111,2784,411,2190,188,NA,22448726051.2511,785106.996974002,19,0
112,2800,417,2200,188,NA,22448726051.2511,785106.996974002,16,0
113,2823,398,2242,188,NA,22448726051.2511,785106.996974002,23,0
114,2844,344,2317,188,NA,22448726051.2511,785106.996974002,21,0
115,2860,315,2362,188,NA,22448726051.2511,785106.996974002,16,0
116,2894,329,2382,188,NA,22448726051.2511,785106.996974002,34,0
117,2925,301,2441,188,NA,22448726051.2511,785106.996974002,31,0
118,2944,304,2455,190,NA,22448726051.2511,785106.996974002,19,2
119,2973,320,2468,190,NA,22448726051.2511,785106.996974002,29,0
120,3012,342,2484,191,NA,22448726051.2511,785106.996974002,39,1
121,3024,288,2550,191,NA,22448726051.2511,785106.996974002,12,0
122,3041,270,2585,191,NA,22448726051.2511,785106.996974002,17,0
123,3066,279,2600,192,NA,22448726051.2511,785106.996974002,25,1
124,3103,313,2600,195,NA,22448726051.2511,785106.996974002,37,3
125,3113,315,2612,191,NA,22448726051.2511,785106.996974002,10,-4
126,3136,333,2617,191,NA,22448726051.2511,785106.996974002,23,0
127,3158,326,2645,192,NA,22448726051.2511,785106.996974002,22,1
128,3169,320,2662,192,NA,22448726051.2511,785106.996974002,11,0
129,3183,305,2691,192,NA,22448726051.2511,785106.996974002,14,0
130,3201,258,2754,194,NA,22448726051.2511,785106.996974002,18,2
131,3218,255,2774,194,NA,22448726051.2511,785106.996974002,17,0
132,3240,273,2778,194,NA,22448726051.2511,785106.996974002,22,0
133,3259,291,2779,194,NA,22448726051.2511,785106.996974002,19,0
134,3275,290,2795,195,NA,22448726051.2511,785106.996974002,16,1
135,3286,203,2892,196,NA,22448726051.2511,785106.996974002,11,1
136,3302,173,2938,196,NA,22448726051.2511,785106.996974002,16,0
137,3312,147,2974,196,NA,22448726051.2511,785106.996974002,10,0
138,3327,155,2980,197,NA,22448726051.2511,785106.996974002,15,1
139,3344,162,2988,199,NA,22448726051.2511,785106.996974002,17,2
140,3354,161,2998,200,NA,22448726051.2511,785106.996974002,10,1
141,3369,173,3001,200,NA,22448726051.2511,785106.996974002,15,0
142,3373,146,3032,200,NA,22448726051.2511,785106.996974002,4,0
143,3382,118,3069,200,NA,22448726051.2511,785106.996974002,9,0
144,3398,124,3079,200,NA,22448726051.2511,785106.996974002,16,0
145,3409,120,3093,201,NA,22448726051.2511,785106.996974002,11,1
