"OBJECTID","DATE","CONFIRMED","ACTIVE","RECOVERED","Shape__Area","Shape__Length","new_cases"
198,2020-11-06,2763,267,2380,714926133.740173,171664.844393866,67
199,2020-11-07,2795,265,2414,714926133.740173,171664.844393866,32
200,2020-11-08,2836,306,2414,714926133.740173,171664.844393866,41
201,2020-11-09,2876,316,2443,714926133.740173,171664.844393866,40
202,2020-11-10,2912,308,2487,714926133.740173,171664.844393866,36
203,2020-11-11,3018,390,2511,714926133.740173,171664.844393866,106
204,2020-11-12,3103,459,2527,714926133.740173,171664.844393866,85
205,2020-11-13,3187,479,2591,714926133.740173,171664.844393866,84
206,2020-11-14,3253,545,2591,714926133.740173,171664.844393866,66
207,2020-11-15,3340,632,2591,714926133.740173,171664.844393866,87
208,2020-11-16,3385,528,2740,714926133.740173,171664.844393866,45
209,2020-11-17,3442,533,2792,714926133.740173,171664.844393866,57
210,2020-11-18,3562,647,2798,714926133.740173,171664.844393866,120
211,2020-11-19,3639,721,2800,714926133.740173,171664.844393866,77
212,2020-11-20,3743,727,2898,714926133.740173,171664.844393866,104
213,2020-11-21,3821,804,2899,714926133.740173,171664.844393866,78
214,2020-11-22,3886,705,3063,714926133.740173,171664.844393866,65
215,2020-11-23,3934,692,3124,714926133.740173,171664.844393866,48
216,2020-11-24,3992,750,3124,714926133.740173,171664.844393866,58
217,2020-11-25,4089,846,3125,714926133.740173,171664.844393866,97
218,2020-11-26,4166,921,3126,714926133.740173,171664.844393866,77
219,2020-11-27,4259,754,3385,714926133.740173,171664.844393866,93
220,2020-11-28,4293,673,3498,714926133.740173,171664.844393866,34
221,2020-11-29,4402,718,3562,714926133.740173,171664.844393866,109
222,2020-11-30,4468,777,3566,714926133.740173,171664.844393866,66
223,2020-12-01,4525,751,3649,714926133.740173,171664.844393866,57
224,2020-12-02,4605,665,3813,714926133.740173,171664.844393866,80
225,2020-12-03,4728,668,3932,714926133.740173,171664.844393866,123
226,2020-12-04,4842,741,3970,714926133.740173,171664.844393866,114
227,2020-12-05,4916,729,4053,714926133.740173,171664.844393866,74
228,2020-12-06,5048,789,4124,714926133.740173,171664.844393866,132
229,2020-12-07,5177,839,4202,714926133.740173,171664.844393866,129
230,2020-12-08,5307,963,4207,714926133.740173,171664.844393866,130
231,2020-12-09,5403,981,4283,714926133.740173,171664.844393866,96
232,2020-12-10,5508,963,4405,714926133.740173,171664.844393866,105
233,2020-12-11,5681,1133,4405,714926133.740173,171664.844393866,173
234,2020-12-12,5805,1218,4440,714926133.740173,171664.844393866,124
235,2020-12-13,5927,1338,4440,714926133.740173,171664.844393866,122
236,2020-12-14,6003,1413,4440,714926133.740173,171664.844393866,76
237,2020-12-15,6110,1344,4611,714926133.740173,171664.844393866,107
238,2020-12-16,6196,1123,4910,714926133.740173,171664.844393866,86
239,2020-12-17,6310,1074,5072,714926133.740173,171664.844393866,114
240,2020-12-18,6457,1153,5138,714926133.740173,171664.844393866,147
241,2020-12-19,6606,1226,5210,714926133.740173,171664.844393866,149
242,2020-12-20,6713,1331,5210,714926133.740173,171664.844393866,107
243,2020-12-21,6820,1188,5459,714926133.740173,171664.844393866,107
244,2020-12-22,6907,1275,5458,714926133.740173,171664.844393866,87
245,2020-12-23,6997,1325,5498,714926133.740173,171664.844393866,90
246,2020-12-24,7108,1203,5727,714926133.740173,171664.844393866,111
247,2020-12-25,7186,1246,5761,714926133.740173,171664.844393866,78
248,2020-12-26,7276,1333,5761,714926133.740173,171664.844393866,90
249,2020-12-27,7354,1407,5761,714926133.740173,171664.844393866,78
250,2020-12-28,7417,1269,5962,714926133.740173,171664.844393866,63
251,2020-12-29,7480,1311,5982,714926133.740173,171664.844393866,63
252,2020-12-30,7562,1391,5982,714926133.740173,171664.844393866,82
