"Test.Date","County","New.Positives","Cumulative.Number.of.Positives","Total.Number.of.Tests.Performed","Cumulative.Number.of.Tests.Performed","Percent.Change","Three.Day.Average","Three.Day.Change","Three.Day.Percentage","Last.28.Days","Last.14.Days","Last.7.Days","Last.7.Days.Mean","Positive.Per.100000","Percent.Positive","Total.Percent.Positive","Three.Day.Percent.Positive","Percent.Change.Tests","Three.Day.Average.Tests","Three.Day.Change.Tests","Three.Day.Percentage.Tests","Last.28.Days.Tests","Last.14.Days.Tests","Last.7.Days.Tests","Roll.Last.7.Days.Cases","Roll.Last.7.Days.Tests","Roll.Percent.Positive.7.days"
2020-07-14,"Onondaga",24,3203,1227,104894,1,3174.66666666667,103,3,645,340,174,24.8571428571429,5.39753128086519,0.019559902200489,0.0305355883081968,0.017051586445068,1,103370,4633,5,38672,18956,10363,24.8571428571429,1480.42857142857,1.67905046801119
2020-07-15,"Onondaga",22,3225,1697,106591,1,3202.33333333333,101,3,610,328,175,25,5.42855157558281,0.0129640542133176,0.0302558377348932,0.0164617215390718,1,105050.666666667,5042,5,38929,18744,9990,25,1427.14285714286,1.75175175175175
2020-07-16,"Onondaga",15,3240,2153,108744,0,3222.66666666667,98,2,606,331,162,23.1428571428571,5.0252877442538,0.00696702275894101,0.0297947472964026,0.0120149694701595,0,106743,5077,5,39388,19929,10988,23.1428571428571,1569.71428571429,1.47433563887878
2020-07-17,"Onondaga",22,3262,1912,110656,1,3242.33333333333,83,2,618,334,162,23.1428571428571,5.0252877442538,0.0115062761506276,0.0294787449392713,0.0102395001735509,1,108663.666666667,5762,5,40030,20998,11739,23.1428571428571,1677,1.38001533350371
2020-07-18,"Onondaga",16,3278,1100,111756,0,3260,75,2,612,329,154,22,4.77712538651287,0.0145454545454545,0.029331758473818,0.0102613746369797,0,110385.333333333,5165,5,38802,21242,11495,22,1642.14285714286,1.33971291866029
2020-07-19,"Onondaga",12,3290,1758,113514,0,3276.66666666667,65,2,615,327,148,21.1428571428571,4.59100361820718,0.0068259385665529,0.02898320911958,0.010482180293501,0,111975.333333333,4770,4,39606,22349,11965,21.1428571428571,1709.28571428571,1.23694107814459
2020-07-20,"Onondaga",22,3312,1918,115432,1,3293.33333333333,72,2,610,315,133,19,4.12569919744293,0.0114702815432742,0.0286922170628595,0.0104690117252931,1,113567.333333333,4776,4,40464,22812,11765,19,1680.71428571429,1.13047173820654
2020-07-21,"Onondaga",14,3326,1844,117276,0,3309.33333333333,64,1,592,297,123,17.5714285714286,3.81549625026678,0.00759219088937093,0.0283604488556908,0.00869565217391304,0,115407.333333333,5520,5,41074,22745,12382,17.5714285714286,1768.85714285714,0.993377483443709
2020-07-22,"Onondaga",18,3344,1965,119241,1,3327.33333333333,66,2,593,294,119,17,3.69141507139631,0.00916030534351145,0.0280440452528912,0.00942902042954426,1,117316.333333333,5727,5,41856,22640,12650,17,1807.14285714286,0.940711462450593
2020-07-23,"Onondaga",16,3360,2174,121415,0,3343.33333333333,70,1,578,282,120,17.1428571428571,3.72243536611393,0.00735970561177553,0.0276736811761314,0.00802273107136888,0,119310.666666667,5983,5,42628,23659,12671,17.1428571428571,1810.14285714286,0.947044432167943
2020-07-24,"Onondaga",18,3378,1868,123283,1,3360.66666666667,66,2,587,278,116,16.5714285714286,3.59835418724346,0.00963597430406852,0.0274003715029647,0.00865656733810554,1,121313,6007,5,42979,24366,12627,16.5714285714286,1803.85714285714,0.918666349885167
2020-07-25,"Onondaga",11,3389,2415,125698,0,3375.66666666667,63,1,573,265,111,15.8571428571429,3.44325271365538,0.00455486542443064,0.0269614472783974,0.00696918073408704,0,123465.333333333,6457,5,43673,25437,13942,15.8571428571429,1991.71428571429,0.796155501362789
2020-07-26,"Onondaga",9,3398,1790,127488,0,3388.33333333333,54,1,576,256,108,15.4285714285714,3.35019182950253,0.00502793296089385,0.0266534889558233,0.00625720401778363,0,125489.666666667,6073,5,44206,25939,13974,15.4285714285714,1996.28571428571,0.77286389008158
2020-07-27,"Onondaga",21,3419,1744,129232,1,3402,59,1,577,240,107,15.2857142857143,3.31917153478492,0.0120412844036697,0.0264562956543271,0.00689191460749706,1,127472.666666667,5949,5,44662,25565,13800,15.2857142857143,1971.42857142857,0.77536231884058
2020-07-28,"Onondaga",18,3437,1664,130896,1,3418,59,1,574,234,111,15.8571428571429,3.44325271365538,0.0108173076923077,0.0262574868597971,0.00923432089265102,1,129205.333333333,5198,4,44958,26002,13620,15.8571428571429,1945.71428571429,0.814977973568282
2020-07-29,"Onondaga",22,3459,1408,132304,1,3438.33333333333,70,2,562,234,115,16.4285714285714,3.56733389252585,0.015625,0.026144334260491,0.0126661129568106,1,130810.666666667,4816,4,44457,25713,13063,16.4285714285714,1866.14285714286,0.880349077547271
2020-07-30,"Onondaga",5,3464,1481,133785,0,3453.33333333333,66,1,555,224,104,14.8571428571429,3.22611065063207,0.00337609723160027,0.0258922898680719,0.00988359323522952,0,132328.333333333,4553,4,44970,25041,12370,14.8571428571429,1767.14285714286,0.840743734842361
2020-07-31,"Onondaga",13,3477,1678,135463,0,3466.66666666667,58,1,549,215,99,14.1428571428571,3.07100917704399,0.00774731823599523,0.0256675254497538,0.00875848478213269,0,133850.666666667,4567,3,45805,24807,12180,14.1428571428571,1740,0.812807881773399
2020-08-01,"Onondaga",8,3485,1274,136737,0,3475.33333333333,48,1,536,207,96,13.7142857142857,2.97794829289114,0.00627943485086342,0.0254868835794262,0.00586510263929619,0,135328.333333333,4433,3,46223,24981,11039,13.7142857142857,1577,0.869643989491802
2020-08-02,"Onondaga",5,3490,689,137426,0,3484,31,1,527,200,92,13.1428571428571,2.85386711402068,0.00725689404934688,0.0253954855704161,0.00714089535841802,0,136542,3641,3,46261,23912,9938,13.1428571428571,1419.71428571429,0.925739585429664
2020-08-03,"Onondaga",25,3515,3057,140483,1,3496.66666666667,51,1,518,203,96,13.7142857142857,2.97794829289114,0.00817795224075891,0.025020821024608,0.00756972111553785,1,138215.333333333,5020,4,47863,25051,11251,13.7142857142857,1607.28571428571,0.853257488223269
2020-08-04,"Onondaga",10,3525,2030,142513,0,3510,48,1,496,199,88,12.5714285714286,2.72978593515021,0.00492610837438424,0.0247345856167508,0.00692520775623269,0,140140.666666667,5776,4,47982,25237,11617,12.5714285714286,1659.57142857143,0.757510544891108
2020-08-05,"Onondaga",10,3535,1499,144012,0,3525,50,1,485,191,76,10.8571428571429,2.35754239853882,0.0066711140760507,0.0245465655639808,0.00683267537200121,0,142336,6586,5,47411,24771,11708,10.8571428571429,1672.57142857143,0.649128800819952
2020-08-06,"Onondaga",21,3556,2037,146049,1,3538.66666666667,66,1,478,196,92,13.1428571428571,2.85386711402068,0.0103092783505155,0.024347992796938,0.00736615163492634,1,144191.333333333,5566,4,48293,24634,12264,13.1428571428571,1752,0.750163078930202
2020-08-07,"Onondaga",9,3565,1799,147848,0,3552,50,1,465,187,88,12.5714285714286,2.72978593515021,0.00500277932184547,0.0241126021319193,0.00749765698219306,0,145969.666666667,5335,4,48931,24565,12385,12.5714285714286,1769.28571428571,0.710536939846589
2020-08-08,"Onondaga",11,3576,1052,148900,0,3565.66666666667,51,1,452,187,91,13,2.82284681930306,0.0104562737642586,0.0240161182001343,0.00838788870703764,0,147599,4888,3,48639,23202,12163,13,1737.57142857143,0.748170681575269
2020-08-09,"Onondaga",9,3585,806,149706,0,3575.33333333333,50,1,443,187,95,13.5714285714286,2.94692799817352,0.011166253101737,0.0239469359945493,0.00792999726551818,0,148818,3657,3,48157,22218,12280,13.5714285714286,1754.28571428571,0.773615635179153
2020-08-10,"Onondaga",17,3602,4122,153828,0,3587.66666666667,46,1,423,183,87,12.4285714285714,2.6987656404326,0.00412421154779233,0.0234157630600411,0.00618729096989967,0,150811.333333333,5980,4,50161,24596,13345,12.4285714285714,1906.42857142857,0.651929561633571
2020-08-11,"Onondaga",11,3613,1526,155354,0,3600,48,1,410,176,88,12.5714285714286,2.72978593515021,0.0072083879423329,0.0232565624316078,0.00573287883483111,0,152962.666666667,6454,4,50460,24458,12841,12.5714285714286,1834.42857142857,0.68530488279729
